Feature,Mean |SHAP|
term__36_months,0.3922031
acc_open_past_24mths,0.17024764
dti,0.15589274
installment_to_income,0.15351115
fico_range_low,0.117112234
term__60_months,0.07517332
mths_since_recent_bc,0.072839566
total_bc_limit,0.0683691
mths_since_recent_inq,0.06787603
bc_open_to_buy,0.061654832
purpose_credit_card,0.054457057
installment,0.053873304
num_tl_op_past_12m,0.053237274
mo_sin_old_rev_tl_op,0.052123576
emp_title,0.050119013
home_ownership_MORTGAGE,0.048456166
num_rev_tl_bal_gt_0,0.047732335
total_acc,0.047540694
tot_hi_cred_lim,0.046650425
avg_cur_bal,0.04309909
emp_length_numeric,0.041955493
verification_status_Not_Verified,0.04015223
inq_last_6mths,0.03983521
mort_acc,0.0385983
total_rev_hi_lim,0.037326165
verification_status_Verified,0.036224425
mths_since_last_delinq,0.0353905
bc_util,0.033832002
fico_range_high,0.029026425
num_actv_bc_tl,0.029025873
total_il_high_credit_limit,0.026143406
percent_bc_gt_75,0.02553251
mo_sin_rcnt_tl,0.025290772
addr_state,0.02432449
home_ownership_RENT,0.024047287
revol_bal,0.021597989
num_actv_rev_tl,0.01985342
revol_util,0.019102616
emp_length_10+_years,0.016566498
num_accts_ever_120_pd,0.015107681
mo_sin_old_il_acct,0.01507902
initial_list_status_f,0.014814076
num_rev_accts,0.014645493
tot_cur_bal,0.014550047
num_il_tl,0.014474073
annual_inc,0.014027261
total_bal_ex_mort,0.013407024
earliest_cr_line,0.013312106
delinq_2yrs,0.011627023
mo_sin_rcnt_rev_tl_op,0.010746405
initial_list_status_w,0.0099435635
loan_amnt,0.009443508
purpose_small_business,0.009199097
num_op_rev_tl,0.007865402
pct_tl_nvr_dlq,0.0070935967
log_revol_bal,0.006724555
avg_fico,0.006227284
purpose_other,0.006035155
purpose_debt_consolidation,0.005383349
num_bc_sats,0.005326901
log_annual_inc,0.0051511237
num_bc_tl,0.004583733
open_acc,0.004574482
num_sats,0.003052302
emp_length_9_years,0.0023224237
tot_coll_amt,0.002287706
emp_length_1_year,0.0021828797
purpose_medical,0.0021643
emp_length_7_years,0.0019162325
pub_rec_bankruptcies,0.0017718537
application_type_Individual,0.0017423412
pub_rec,0.0013819688
purpose_moving,0.0012842646
tax_liens,0.0011490952
purpose_major_purchase,0.00113125
emp_length_4_years,0.0008963457
num_tl_90g_dpd_24m,0.0008723836
emp_length_5_years,0.0007952208
emp_length_6_years,0.0007693114
purpose_car,0.00076485163
revol_util_bins_high,0.00075798045
revol_util_bins_medium,0.00070315483
verification_status_Source_Verified,0.0004842262
home_ownership_OWN,0.00039699566
collections_12_mths_ex_med,0.00039520775
application_type_Joint_App,0.00033525648
revol_util_bins_very_high,0.00033113162
emp_length_3_years,0.00029059552
purpose_house,0.0002579685
num_tl_30dpd,0.0001941329
delinq_amnt,0.00019072542
emp_length_2_years,0.00015664395
acc_now_delinq,0.00012218372
emp_length___1_year,0.00011782094
purpose_vacation,7.190723e-05
emp_length_8_years,6.2421044e-05
purpose_home_improvement,4.291496e-05
purpose_renewable_energy,3.4882378e-05
chargeoff_within_12_mths,1.8955428e-05
num_tl_120dpd_2m,0.0
disbursement_method_Cash,0.0
revol_util_bins_low,0.0
